city,year,week,counts
boston,2017,1,42
boston,2017,2,60
boston,2017,3,35
boston,2017,4,45
boston,2017,5,43
boston,2017,6,52
boston,2017,7,48
boston,2017,8,46
boston,2017,9,64
boston,2017,10,60
boston,2017,11,58
boston,2017,12,45
boston,2017,13,72
boston,2017,14,44
boston,2017,15,46
boston,2017,16,58
boston,2017,17,50
boston,2017,18,54
boston,2017,19,56
boston,2017,20,67
boston,2017,21,74
boston,2017,22,56
boston,2017,23,82
boston,2017,24,64
boston,2017,25,68
boston,2017,26,58
cambridge,2017,1,34
cambridge,2017,2,28
cambridge,2017,3,26
cambridge,2017,4,29
cambridge,2017,5,15
cambridge,2017,6,44
cambridge,2017,7,38
cambridge,2017,8,33
cambridge,2017,9,15
cambridge,2017,10,28
cambridge,2017,11,29
cambridge,2017,12,33
cambridge,2017,13,20
cambridge,2017,14,24
cambridge,2017,15,38
cambridge,2017,16,23
cambridge,2017,17,34
cambridge,2017,18,25
cambridge,2017,19,40
cambridge,2017,20,41
cambridge,2017,21,29
cambridge,2017,22,34
cambridge,2017,23,20
cambridge,2017,24,38
cambridge,2017,25,25
cambridge,2017,26,25
cambridge,2017,27,22
cambridge,2017,28,24
cambridge,2017,29,22
cambridge,2017,30,35
cambridge,2017,31,37
cambridge,2017,32,38
cambridge,2017,33,27
cambridge,2017,34,30
cambridge,2017,35,24
cambridge,2017,36,23
cambridge,2017,37,44
cambridge,2017,38,29
cambridge,2017,39,39
cambridge,2017,40,26
cambridge,2017,41,25
cambridge,2017,42,37
cambridge,2017,43,41
cambridge,2017,44,21
cambridge,2017,45,23
cambridge,2017,46,41
cambridge,2017,47,23
cambridge,2017,48,31
cambridge,2017,49,26
cambridge,2017,50,24
cambridge,2017,51,32
cambridge,2017,52,18
dc,2017,1,547
dc,2017,2,570
dc,2017,3,509
dc,2017,4,542
dc,2017,5,493
dc,2017,6,483
dc,2017,7,490
dc,2017,8,525
dc,2017,9,566
dc,2017,10,589
dc,2017,11,560
dc,2017,12,526
dc,2017,13,593
dc,2017,14,260
dc,2017,15,210
dc,2017,16,519
dc,2017,17,637
dc,2017,18,666
dc,2017,19,573
dc,2017,20,627
dc,2017,21,539
dc,2017,22,551
dc,2017,23,315
dc,2017,24,92
dc,2017,25,43
dc,2017,26,72
dc,2017,27,80
dc,2017,28,117
dc,2017,29,72
dc,2017,30,68
dc,2017,31,83
dc,2017,32,98
dc,2017,33,85
dc,2017,34,73
dc,2017,35,87
dc,2017,36,101
dc,2017,37,81
dc,2017,38,42
dc,2017,39,66
dc,2017,40,68
dc,2017,41,74
dc,2017,42,95
dc,2017,43,66
dc,2017,44,103
dc,2017,45,96
dc,2017,46,78
dc,2017,47,64
dc,2017,48,96
dc,2017,49,139
dc,2017,50,102
dc,2017,51,97
dc,2017,52,68
